,Row,Col,Hgt97,Diam97,Spread97,Needles97,Spacing
1,R1,C2,362.0,6.6,162.0,66.0,15
2,R1,C3,442.0,9.3,250.0,77.0,15
4,R1,C5,369.0,7.0,176.0,72.0,15
5,R1,C6,365.0,6.9,215.0,76.0,15
6,R1,C7,356.0,7.6,238.0,74.5,15
7,R1,C8,365.0,7.7,219.0,60.5,15
8,R1,C9,208.0,2.0,127.0,56.0,15
9,R1,C10,329.0,6.1,209.0,79.5,15
10,R1,C11,298.0,3.9,154.0,70.5,15
11,R1,C12,245.0,5.0,167.0,77.0,15
12,R1,C13,317.0,5.8,180.0,67.0,15
13,R1,C14,275.0,4.5,190.0,65.0,15
14,R1,C15,333.0,5.8,140.0,77.0,15
15,R1,C16,366.0,6.7,180.0,58.0,15
17,R1,C18,199.0,2.05,84.0,80.0,15
19,R2,C2,336.0,6.0,163.0,63.0,15
20,R2,C3,367.0,8.06,200.0,72.5,15
22,R2,C5,331.0,5.39,182.0,80.5,15
23,R2,C6,371.0,8.86,200.0,66.7,15
24,R2,C7,301.0,4.75,170.0,85.8,15
25,R2,C8,313.0,5.77,175.0,80.0,15
26,R2,C9,194.0,2.35,115.0,70.5,15
27,R2,C10,321.0,5.25,200.0,89.1,15
28,R2,C11,315.0,4.89,140.0,75.3,15
29,R2,C12,271.0,4.85,137.0,83.0,15
30,R2,C13,277.0,5.14,185.0,75.8,15
31,R2,C14,341.0,7.81,210.0,70.0,15
32,R2,C15,349.0,6.18,169.0,71.5,15
33,R2,C16,334.0,4.46,160.0,62.4,15
34,R2,C17,303.0,6.66,130.0,70.0,15
35,R2,C18,382.0,7.09,196.0,63.6,15
38,R3,C3,267.0,3.6,162.0,75.0,15
39,R3,C4,248.0,3.6,145.0,70.0,15
40,R3,C5,385.0,5.9,254.0,45.0,15
41,R3,C6,320.0,5.5,168.0,65.0,15
42,R3,C7,325.0,4.6,169.0,61.0,15
43,R3,C8,278.0,5.3,171.0,84.0,15
44,R3,C9,349.0,5.8,217.0,66.0,15
45,R3,C10,392.0,7.2,274.0,81.0,15
46,R3,C11,352.0,6.6,255.0,80.0,15
47,R3,C12,158.0,2.3,90.0,60.0,15
48,R3,C13,327.0,5.9,228.0,80.0,15
50,R3,C15,400.0,6.5,215.0,84.0,15
52,R3,C17,279.0,4.9,147.0,83.0,15
53,R3,C18,312.0,5.0,190.0,61.0,15
54,R4,C1,333.0,3.8,174.0,54.0,15
55,R4,C2,327.0,5.3,209.0,62.0,15
56,R4,C3,386.0,6.8,202.0,79.0,15
57,R4,C4,310.0,4.3,181.0,53.0,15
59,R4,C6,361.0,7.0,221.0,72.0,15
60,R4,C7,388.0,7.6,281.0,64.0,15
61,R4,C8,380.0,7.3,223.0,58.0,15
62,R4,C9,353.0,8.7,258.0,76.0,15
63,R4,C10,340.0,6.2,191.0,65.0,15
64,R4,C11,212.0,1.9,98.0,64.0,15
65,R4,C12,373.0,7.9,271.0,62.0,15
66,R4,C13,293.0,5.2,211.0,77.0,15
67,R4,C14,333.0,5.6,178.0,69.0,15
68,R4,C15,333.0,5.7,195.0,68.0,15
69,R4,C16,322.0,5.4,182.0,68.0,15
70,R4,C17,418.0,8.2,300.0,73.0,15
71,R4,C18,323.0,5.0,169.0,50.0,15
72,R5,C1,243.0,3.1,94.0,65.0,15
73,R5,C2,423.0,8.5,270.0,72.0,15
74,R5,C3,361.0,5.4,156.0,63.0,15
75,R5,C4,283.0,4.4,130.0,84.0,15
76,R5,C5,343.0,8.2,196.0,54.0,15
77,R5,C6,403.0,6.7,173.0,60.0,15
78,R5,C7,400.0,8.9,246.0,70.0,15
79,R5,C8,353.0,7.6,172.0,47.0,15
80,R5,C9,320.0,4.7,148.0,56.0,15
81,R5,C10,232.0,2.8,153.0,65.0,15
82,R5,C11,321.0,5.0,188.0,62.0,15
84,R5,C13,305.0,5.8,129.0,80.0,15
85,R5,C14,252.0,3.4,161.0,69.0,15
86,R5,C15,344.0,6.2,20.0,60.2,15
87,R5,C16,254.0,4.4,123.0,53.0,15
88,R5,C17,203.0,3.2,91.0,54.0,15
89,R5,C18,228.0,3.3,100.0,72.0,15
90,R6,C1,366.0,5.3,151.0,75.0,15
91,R6,C2,348.0,5.5,175.0,89.0,15
92,R6,C3,427.0,8.1,254.0,60.0,15
93,R6,C4,300.0,4.2,56.0,49.0,15
95,R6,C6,313.0,3.8,173.0,55.0,15
96,R6,C7,422.0,7.8,316.0,90.0,15
97,R6,C8,412.0,7.7,232.0,65.0,15
98,R6,C9,402.0,6.4,235.0,172.0,15
99,R6,C10,349.0,4.9,199.0,74.0,15
100,R6,C11,343.0,5.2,193.0,72.0,15
101,R6,C12,414.0,6.4,187.0,60.0,15
102,R6,C13,392.0,7.6,188.0,71.0,15
103,R6,C14,251.0,5.3,190.0,103.0,15
104,R6,C15,419.0,7.4,244.0,90.0,15
105,R6,C16,206.0,2.5,114.0,63.0,15
107,R6,C18,115.0,0.4,96.0,47.0,15
109,R7,C2,452.0,7.7,210.0,71.0,15
110,R7,C3,276.0,5.4,157.0,70.0,15
111,R7,C4,310.0,6.4,170.0,63.0,15
112,R7,C5,250.0,3.7,136.0,66.0,15
113,R7,C6,282.0,3.6,141.0,72.0,15
114,R7,C7,262.0,2.9,138.0,64.0,15
115,R7,C8,371.0,7.3,229.0,65.0,15
116,R7,C9,294.0,4.6,180.0,80.0,15
118,R7,C11,226.0,3.3,114.0,66.0,15
119,R7,C12,293.0,4.7,139.0,49.0,15
120,R7,C13,229.0,3.7,107.0,79.0,15
121,R7,C14,337.0,5.4,178.0,75.0,15
122,R7,C15,200.0,3.1,124.0,81.0,15
123,R7,C16,129.0,0.8,87.0,70.0,15
124,R7,C17,165.0,1.7,92.0,79.0,15
125,R7,C18,487.0,7.7,110.0,73.0,15
127,R8,C2,483.0,7.6,101.0,25.0,15
128,R8,C3,429.0,7.4,200.0,44.0,15
129,R8,C4,298.0,5.3,164.0,69.0,15
130,R8,C5,336.0,7.1,188.0,64.0,15
131,R8,C6,190.0,1.7,113.0,71.0,15
133,R8,C8,339.0,5.5,153.0,49.0,15
134,R8,C9,319.0,6.3,165.0,68.0,15
135,R8,C10,259.0,3.7,147.0,56.0,15
136,R8,C11,374.0,7.8,241.0,73.0,15
137,R8,C12,304.0,5.6,156.0,72.0,15
138,R8,C13,345.0,8.8,186.0,73.0,15
139,R8,C14,258.0,3.1,132.0,44.0,15
140,R8,C15,331.0,5.5,177.0,59.0,15
141,R8,C16,298.0,4.7,190.0,59.0,15
142,R8,C17,446.0,8.8,265.0,85.0,15
143,R8,C18,306.0,5.0,200.0,64.0,15
144,R9,C1,308.0,4.6,151.0,98.0,15
145,R9,C2,454.0,8.3,218.0,94.0,15
146,R9,C3,454.0,7.6,198.0,90.0,15
147,R9,C4,421.0,8.2,228.0,75.0,15
148,R9,C5,429.0,7.0,156.0,69.0,15
149,R9,C6,100.0,0.7,47.0,70.0,15
150,R9,C7,322.0,5.2,200.0,91.0,15
151,R9,C8,404.0,10.1,240.0,107.0,15
152,R9,C9,299.0,3.8,147.0,62.0,15
153,R9,C10,333.0,5.9,187.0,60.0,15
154,R9,C11,177.0,1.6,75.0,56.0,15
155,R9,C12,345.0,5.1,155.0,65.0,15
157,R9,C14,176.0,1.9,105.0,69.0,15
158,R9,C15,299.0,3.5,177.0,77.0,15
159,R9,C16,416.0,7.2,184.0,83.0,15
160,R9,C17,309.0,4.5,126.0,74.0,15
161,R9,C18,162.0,1.8,96.0,69.0,15
162,R10,C1,315.0,5.5,164.0,64.0,15
163,R10,C2,458.0,7.7,246.0,70.0,15
164,R10,C3,352.0,7.5,231.0,60.0,15
165,R10,C4,327.0,6.3,160.0,70.0,15
168,R10,C7,397.0,7.7,180.0,74.0,15
169,R10,C8,244.0,3.4,114.0,68.0,15
170,R10,C9,407.0,8.4,183.0,70.0,15
171,R10,C10,281.0,5.5,185.0,97.0,15
173,R10,C12,320.0,5.7,190.0,81.0,15
174,R10,C13,399.0,8.2,244.0,59.0,15
175,R10,C14,244.0,7.7,128.0,36.0,15
176,R10,C15,305.0,6.7,179.0,76.0,15
178,R10,C17,386.0,5.7,152.0,86.0,15
179,R10,C18,261.0,3.2,120.0,84.0,15
181,R11,C2,352.0,6.1,181.0,67.0,15
183,R11,C4,413.0,8.0,150.0,70.0,15
185,R11,C6,413.0,8.7,247.0,91.0,15
186,R11,C7,273.0,3.6,185.0,60.0,15
187,R11,C8,374.0,8.3,222.0,60.0,15
189,R11,C10,389.0,7.1,236.0,75.0,15
191,R11,C12,273.0,3.9,162.0,55.0,15
192,R11,C13,283.0,5.4,166.0,60.0,15
193,R11,C14,333.0,5.7,195.0,73.0,15
194,R11,C15,302.0,4.6,134.0,65.0,15
196,R11,C17,252.0,4.0,183.0,67.0,15
197,R11,C18,270.0,3.2,159.0,57.0,15
199,R12,C2,285.0,4.4,170.0,77.0,15
200,R12,C3,261.0,3.9,142.0,63.0,15
201,R12,C4,332.0,5.8,196.0,65.0,15
202,R12,C5,428.0,7.7,235.0,95.0,15
203,R12,C6,420.0,7.7,241.0,81.0,15
204,R12,C7,443.0,9.3,285.0,71.0,15
205,R12,C8,382.0,7.7,196.0,52.0,15
206,R12,C9,361.0,6.8,210.0,68.0,15
207,R12,C10,355.0,7.6,218.0,87.0,15
208,R12,C11,277.0,3.7,110.0,79.0,15
209,R12,C12,268.0,3.2,122.0,75.0,15
210,R12,C13,393.0,7.9,225.0,71.0,15
211,R12,C14,279.0,3.7,141.0,93.0,15
212,R12,C15,281.0,4.0,175.0,69.0,15
213,R12,C16,280.0,4.7,140.0,80.0,15
214,R12,C17,305.0,6.0,212.0,73.0,15
215,R12,C18,199.0,2.7,90.0,64.0,15
216,R13,C1,331.0,4.8,100.0,68.0,15
218,R13,C3,400.0,8.5,250.0,71.0,15
220,R13,C5,341.0,6.4,181.0,85.0,15
221,R13,C6,298.0,4.1,104.0,95.0,15
222,R13,C7,130.0,1.3,75.0,76.0,15
223,R13,C8,215.0,4.8,141.0,78.0,15
226,R13,C11,323.0,6.3,254.0,80.0,15
227,R13,C12,305.0,5.9,181.0,80.0,15
228,R13,C13,316.0,6.3,194.0,71.0,15
229,R13,C14,297.0,3.5,136.0,70.0,15
230,R13,C15,408.0,7.9,199.0,73.0,15
231,R13,C16,325.0,5.3,182.0,61.0,15
232,R13,C17,365.0,7.8,234.0,88.0,15
234,R14,C1,293.0,4.7,170.0,75.0,15
235,R14,C2,353.0,5.3,203.0,71.0,15
236,R14,C3,422.0,7.4,275.0,67.0,15
237,R14,C4,394.0,7.8,228.0,85.0,15
238,R14,C5,363.0,4.5,145.0,60.0,15
239,R14,C6,361.0,6.9,200.0,81.0,15
241,R14,C8,195.0,2.3,125.0,73.0,15
242,R14,C9,261.0,3.7,145.0,84.0,15
243,R14,C10,279.0,4.6,178.0,85.0,15
244,R14,C11,310.0,4.1,169.0,95.0,15
245,R14,C12,361.0,6.0,249.0,71.0,15
247,R14,C14,337.0,4.9,175.0,91.0,15
248,R14,C15,420.0,8.5,244.0,78.0,15
249,R14,C16,453.0,7.9,243.0,83.0,15
250,R14,C17,340.0,5.5,146.0,84.0,15
251,R14,C18,325.0,5.8,100.0,67.0,15
252,R15,C1,204.0,6.8,113.0,85.0,15
253,R15,C2,202.0,8.5,100.0,80.0,15
254,R15,C3,314.0,4.6,176.0,70.0,15
255,R15,C4,439.0,7.3,178.0,90.0,15
257,R15,C6,282.0,5.3,202.0,80.0,15
260,R15,C9,88.0,0.7,40.0,95.0,15
261,R15,C10,366.0,5.9,250.0,85.0,15
263,R15,C12,340.0,4.6,226.0,87.0,15
264,R15,C13,444.0,9.4,272.0,88.0,15
265,R15,C14,356.0,6.5,202.0,85.0,15
266,R15,C15,443.0,7.5,200.0,69.0,15
267,R15,C16,484.0,8.6,229.0,82.0,15
268,R15,C17,252.0,2.9,157.0,65.0,15
269,R15,C18,351.0,6.8,214.0,105.0,15
270,R16,C1,369.0,6.8,206.0,80.0,15
271,R16,C2,411.0,7.3,208.0,77.0,15
272,R16,C3,456.0,7.9,234.0,81.0,15
273,R16,C4,219.0,2.9,120.0,56.0,15
274,R16,C5,344.0,5.7,193.0,100.0,15
276,R16,C7,279.0,5.5,175.0,71.0,15
