,Active,Rest,Sex,Hgt,Wgt
0,97,78,Female,63,119
1,82,68,Male,70,225
2,88,62,Male,72,175
3,106,74,Male,72,170
4,78,63,Female,67,125
5,109,65,Male,74,188
6,66,43,Female,67,140
7,68,65,Male,70,200
8,100,63,Male,70,165
9,70,59,Female,65,115
10,98,57,Male,72,175
11,140,65,Female,66,135
12,105,85,Female,64,140
13,84,64,Male,75,207
14,134,70,Female,68,150
15,117,66,Female,65,120
16,100,72,Male,74,200
17,108,72,Male,67,170
18,76,75,Male,70,155
19,86,68,Male,73,195
20,110,72,Female,66,130
21,65,61,Female,66,145
22,85,74,Female,68,135
23,80,72,Male,70,135
24,87,72,Male,70,173
25,133,97,Female,65,130
26,125,64,Female,70,172
27,61,53,Male,70,175
28,117,78,Male,74,160
29,90,85,Female,65,120
30,110,80,Female,68,145
31,68,58,Male,74,175
32,102,77,Male,72,200
33,67,53,Male,68,158
34,112,75,Female,64,125
35,86,51,Male,74,195
36,85,74,Female,64,120
37,66,59,Male,69,175
38,73,47,Female,62,145
39,85,72,Male,72,140
40,110,78,Male,69,165
41,97,72,Female,64,135
42,93,70,Female,67,115
43,86,63,Female,65,145
44,80,60,Female,60,106
45,96,80,Female,67,140
46,74,67,Male,68,150
47,124,64,Male,73,260
48,78,65,Male,72,150
49,93,72,Male,71,160
50,80,65,Male,75,245
51,80,67,Female,65,133
52,92,69,Male,68,210
53,69,60,Male,72,205
54,82,62,Male,74,194
55,88,67,Female,64,135
56,74,71,Male,70,190
57,74,62,Male,71,200
58,75,54,Male,72,149
59,120,66,Female,67,150
60,105,77,Female,67,138
61,104,82,Female,65,120
62,99,78,Male,71,165
63,113,64,Male,70,160
64,67,58,Female,68,135
65,125,80,Female,65,125
66,133,92,Male,69,185
67,98,67,Female,64,140
68,80,64,Female,71,135
69,91,65,Male,67,150
70,76,63,Female,63,135
71,78,52,Male,75,215
72,94,74,Female,64,160
73,150,64,Male,71,170
74,92,66,Male,77,180
75,96,67,Female,64,165
76,68,58,Female,67,140
77,82,62,Female,62,145
78,102,77,Female,63,124
79,69,63,Male,69,140
80,65,69,Male,71,165
81,84,64,Male,72,185
82,86,60,Female,68,150
83,84,61,Female,65,115
84,116,70,Female,70,150
85,88,71,Female,61,110
86,65,63,Female,64,120
87,101,75,Male,64,110
88,89,71,Female,61,150
89,128,64,Female,67,133
90,68,56,Female,66,160
91,90,72,Male,67,130
92,80,65,Male,69,150
93,80,63,Male,70,135
94,98,79,Male,74,180
95,90,61,Male,71,183
96,82,68,Female,64,120
97,97,61,Female,64,113
98,90,67,Male,74,180
99,98,67,Female,63,150
100,88,54,Male,67,176
101,94,69,Male,72,195
102,92,58,Male,65,165
103,96,76,Female,67,155
104,80,68,Female,64,135
105,66,55,Female,65,125
106,110,83,Female,63,114
107,87,80,Female,69,141
108,88,56,Female,68,172
