,Cultivar,Alcohol,Flavanoids,Color intensity,OD280/OD315
0,2,11.81,0.99,2.5,2.26
1,3,13.4,0.96,8.5,1.92
2,1,13.56,3.29,6.13,3.38
3,3,13.73,0.47,6.62,1.75
4,2,12.17,1.75,2.95,2.23
5,3,14.13,0.76,9.2,1.6
6,1,13.68,2.69,3.84,2.87
7,3,13.4,0.75,7.3,1.56
8,1,13.86,3.15,7.22,3.55
9,2,12.33,1.09,3.27,1.67
10,3,12.86,1.25,4.1,1.29
11,3,13.11,1.28,7.1,1.33
12,3,13.69,0.56,5.88,1.82
13,1,13.75,2.76,5.6,2.9
14,3,13.32,0.76,8.42,1.62
15,2,12.42,2.13,2.08,3.12
16,2,11.82,1.6,1.95,3.33
17,2,12.08,2.17,3.3,2.96
18,2,11.41,2.01,3.08,2.31
19,2,12.42,1.84,2.7,3.3
20,1,13.29,3.23,6.0,2.84
21,1,13.71,2.88,3.8,4.0
22,1,12.93,2.41,4.5,3.52
23,1,13.56,2.78,6.25,3.03
24,2,12.37,2.45,2.12,2.78
25,2,12.0,2.26,2.5,3.12
26,3,13.08,1.39,9.4,1.33
27,2,11.56,5.08,6.0,3.69
28,3,12.88,1.22,5.4,1.42
29,1,13.05,2.68,3.58,3.2
30,1,14.38,3.64,7.5,3.0
31,1,13.16,3.24,5.68,3.17
32,1,13.63,2.91,7.3,2.88
33,1,14.1,3.32,5.75,3.17
34,2,12.37,3.1,4.45,2.87
35,2,12.29,2.5,2.9,2.74
36,2,12.37,2.65,4.6,2.3
37,1,14.37,3.49,7.8,3.45
38,3,13.48,1.1,11.75,1.78
39,1,13.51,2.53,4.2,2.87
40,1,13.64,3.03,5.1,3.36
41,2,12.37,2.0,4.68,3.48
42,2,11.65,1.61,2.6,3.21
43,1,13.72,3.67,6.8,2.87
44,2,11.64,1.69,2.8,2.75
45,2,12.42,2.09,2.06,2.96
46,3,12.84,0.6,4.92,2.15
47,3,12.2,0.49,5.5,1.83
48,1,13.2,2.76,4.38,3.4
49,2,12.37,0.57,1.95,1.82
50,1,13.83,3.4,6.6,2.57
51,2,11.45,2.79,3.25,3.39
52,3,12.53,0.6,5.0,1.69
53,3,12.93,0.5,4.6,2.31
54,1,13.9,3.39,6.1,3.33
55,1,13.87,2.97,4.5,3.4
56,2,12.69,1.46,3.05,2.06
57,2,11.87,3.03,2.8,3.64
58,2,12.37,3.75,4.5,2.77
59,1,14.83,2.98,5.2,2.85
60,3,13.49,0.48,5.7,1.82
61,2,13.86,2.86,3.38,3.16
62,3,13.71,0.61,7.7,1.74
63,2,12.21,1.28,2.85,3.07
64,2,11.66,1.57,3.8,2.14
65,1,13.07,2.64,3.7,2.69
66,2,12.99,2.89,3.35,3.5
67,2,11.03,2.17,1.9,2.87
68,2,11.82,1.64,2.06,2.44
69,3,12.36,0.92,7.65,1.58
70,3,13.27,0.69,10.2,1.56
71,2,12.07,2.65,2.76,3.28
72,3,13.36,0.5,5.6,2.47
73,3,12.6,0.66,7.1,1.58
74,3,13.84,0.83,9.01,1.64
75,3,14.34,1.31,13.0,1.96
76,2,12.52,2.27,2.0,2.78
77,3,13.17,0.68,9.3,1.62
78,2,12.22,2.04,2.7,3.02
79,1,14.22,3.0,6.38,3.31
80,2,12.72,2.53,3.9,3.14
81,2,11.61,2.92,2.65,3.26
82,3,12.85,0.6,5.58,2.11
83,1,14.39,2.52,5.25,3.58
84,1,13.05,3.27,7.2,2.91
85,2,11.62,2.26,3.25,2.96
86,1,13.3,2.19,3.95,2.77
